F_Governorate,F_District,F_Subdistrict,F_Community,Comment,T_Governorate,T_District,T_Subdistrict,T_Community,TypeofShelter,ShelterSpecific,Nov_Change,F_Government PCODE,F_Dictrict PCODE,F_SubDistrict PCODE,F_Community PCODE,T_Government PCODE,T_District PCODE,T_SubDictrict PCODE,T_Community PCODE
Aleppo/ ???,Jebel Saman (Aleppo)/ ??? ?????,Jebel Saman (Aleppo),Aleppo/ ???,Khan AlAsal,Aleppo/ ???,Jebel Saman (Aleppo)/ ??? ?????,Daret Azza,Hoteh/ ??????,,,2250,SY02,SY0200,SY020000,C1007,SY02,SY0200,SY020004,C1146
Aleppo/ ???,Jebel Saman (Aleppo)/ ??? ?????,Jebel Saman (Aleppo),Khantuman/ ????????,,Idleb/ ????,Idleb/ ???? ????,Maaret Tamsrin,Batenta/ ??????,Living with host families/ ?????? ?? ?????? ?????,,40,SY02,SY0200,SY020000,C1015,SY07,SY0700,SY070005,C3939
Aleppo/ ???,Jebel Saman (Aleppo)/ ??? ?????,Jebel Saman (Aleppo),,Khan AlAsal,Idleb/ ????,Harim/ ????,Dana,Dana/ ??????,,,500,SY02,SY0200,SY020000,,SY07,SY0703,SY070301,C4126
Aleppo/ ???,Jebel Saman (Aleppo)/ ??? ?????,Jebel Saman (Aleppo),,Kafr Dael,Idleb/ ????,Harim/ ????,Dana,Selwa/ ????,,,275,SY02,SY0200,SY020000,,SY07,SY0703,SY070301,C4123
Aleppo/ ???,Jebel Saman (Aleppo)/ ??? ?????,Jebel Saman (Aleppo),,Kafr Dael,Idleb/ ????,Harim/ ????,Harim,Harim/ ????,,,375,SY02,SY0200,SY020000,,SY07,SY0703,SY070300,C4115
Aleppo/ ???,Jebel Saman (Aleppo)/ ??? ?????,Jebel Saman (Aleppo),,Khan AlAsal,Idleb/ ????,Idleb/ ???? ????,Idleb,Idleb/ ????,,,80,SY02,SY0200,SY020000,,SY07,SY0700,SY070000,C3871
Ar-Raqqa/ ?????,Ar-Raqqa/ ???? ?????,Ar-Raqqa,Ar-Raqqa/ ?????,,Idleb/ ????,Harim/ ????,Dana,Dana/ ??????,Rented houses/???? ???????  ,,300,SY11,SY1101,SY110100,C5710,SY07,SY0703,SY070301,C4126
Hama/ ????,As-Suqaylabiyah/ ?????????,Tell Salhib,Latmana/ ??????,,Hama/ ????,As-Suqaylabiyah/ ?????????,Madiq Castle,Bab Eltaqa/ ??? ??????,Living with host families/ ?????? ?? ?????? ?????,,150,SY05,SY0502,SY050201,C3138,SY05,SY0502,SY050204,C3199
Hama/ ????,As-Suqaylabiyah/ ?????????,Tell Salhib,Latmana/ ??????,,Hama/ ????,As-Suqaylabiyah/ ?????????,Madiq Castle,Madiq Castle/ ???? ??????,Living with host families/ ?????? ?? ?????? ?????,,180,SY05,SY0502,SY050201,C3138,SY05,SY0502,SY050204,C3207
Hama/ ????,As-Suqaylabiyah/ ?????????,Tell Salhib,Latmana/ ??????,,Hama/ ????,As-Suqaylabiyah/ ?????????,Ziyara,Ankawi/ ????????,Living with host families/ ?????? ?? ?????? ?????,,54,SY05,SY0502,SY050201,C3138,SY05,SY0502,SY050202,C3155
